game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
1,4/22/06,Eastern Conference 1,1,CLE,WAS,W (+11),48,12,27,0.444,1,4,0.25,7,11,0.636,3,8,11,11,0,0,4,32,23.3,11
2,4/25/06,Eastern Conference 1,2,CLE,WAS,L (-5),43,7,25,0.28,1,6,0.167,11,15,0.733,2,7,9,2,2,3,10,26,6.7,-2
3,4/28/06,Eastern Conference 1,3,CLE,WAS,W (+1),48,16,28,0.571,3,5,0.6,6,9,0.667,1,4,5,3,2,0,4,41,27.4,1
4,4/30/06,Eastern Conference 1,4,CLE,WAS,L (-10),45,13,23,0.565,7,12,0.583,5,7,0.714,1,5,6,5,0,0,7,38,23,-16
5,5/3/06,Eastern Conference 1,5,CLE,WAS,W (+1),46,14,23,0.609,0,1,0,17,18,0.944,5,2,7,6,2,0,4,45,38.4,-4
6,5/5/06,Eastern Conference 1,6,CLE,WAS,W (+1),53,15,25,0.6,1,6,0.167,1,3,0.333,0,7,7,7,2,1,5,32,22.8,1
7,5/7/06,Eastern Conference SemiFinals,1,CLE,DET,L (-27),36,9,18,0.5,2,5,0.4,2,2,1,1,3,4,4,0,0,4,22,12.2,-31
8,5/9/06,Eastern Conference SemiFinals,2,CLE,DET,L (-6),48,11,23,0.478,2,5,0.4,6,8,0.75,2,12,14,7,0,0,3,30,22.8,-4
9,5/13/06,Eastern Conference SemiFinals,3,CLE,DET,W (+9),48,9,18,0.5,1,4,0.25,2,2,1,0,10,10,10,4,1,4,21,21.9,9
10,5/15/06,Eastern Conference SemiFinals,4,CLE,DET,W (+2),48,8,23,0.348,1,2,0.5,5,10,0.5,1,7,8,9,2,2,8,22,10.4,2
11,5/17/06,Eastern Conference SemiFinals,5,CLE,DET,W (+2),47,13,30,0.433,1,4,0.25,5,7,0.714,3,2,5,5,2,1,2,32,21.1,2
12,5/19/06,Eastern Conference SemiFinals,6,CLE,DET,L (-2),48,8,20,0.4,1,5,0.2,15,18,0.833,0,11,11,5,1,1,7,32,20.7,-2
13,5/21/06,Eastern Conference SemiFinals,7,CLE,DET,L (-18),47,11,24,0.458,0,4,0,5,8,0.625,3,5,8,2,1,0,3,27,15.6,-16
14,4/22/07,Eastern Conference 1,1,CLE,WAS,W (+15),44,7,14,0.5,0,2,0,9,11,0.818,2,7,9,7,2,0,1,23,24.2,17
15,4/25/07,Eastern Conference 1,2,CLE,WAS,W (+7),45,8,22,0.364,0,3,0,11,13,0.846,4,4,8,7,1,2,2,27,22.5,12
16,4/28/07,Eastern Conference 1,3,CLE,WAS,W (+6),46,11,22,0.5,3,5,0.6,5,7,0.714,0,6,6,9,1,0,2,30,24.1,6
17,4/30/07,Eastern Conference 1,4,CLE,WAS,W (+7),46,8,22,0.364,1,5,0.2,14,17,0.824,3,8,11,7,3,1,2,31,27.5,12
18,5/6/07,Eastern Conference SemiFinals,1,CLE,NJN,W (+4),46,8,21,0.381,1,4,0.25,4,6,0.667,2,9,11,7,1,1,3,21,15.6,6
19,5/8/07,Eastern Conference SemiFinals,2,CLE,NJN,W (+10),46,12,24,0.5,3,7,0.429,9,13,0.692,0,1,1,12,3,0,2,36,31.3,8
20,5/12/07,Eastern Conference SemiFinals,3,CLE,NJN,L (-11),44,5,16,0.313,1,5,0.2,7,7,1,0,6,6,12,0,0,2,18,16.2,-12
21,5/14/07,Eastern Conference SemiFinals,4,CLE,NJN,W (+2),46,9,16,0.563,2,3,0.667,10,15,0.667,0,9,9,7,0,0,3,30,24.6,9
22,5/16/07,Eastern Conference SemiFinals,5,CLE,NJN,L (-11),43,5,14,0.357,0,2,0,10,11,0.909,3,6,9,5,2,1,5,20,15.3,-15
23,5/18/07,Eastern Conference SemiFinals,6,CLE,NJN,W (+16),39,8,20,0.4,1,5,0.2,6,9,0.667,1,7,8,8,1,0,2,23,16.8,26
24,5/21/07,Eastern Conference NBA Finals,1,CLE,DET,L (-3),45,5,15,0.333,0,0,,0,0,,1,9,10,9,4,1,2,10,13.5,-5
25,5/24/07,Eastern Conference NBA Finals,2,CLE,DET,L (-3),45,7,19,0.368,0,1,0,5,7,0.714,0,6,6,7,3,0,6,19,11,-6
26,5/27/07,Eastern Conference NBA Finals,3,CLE,DET,W (+6),46,12,21,0.571,2,3,0.667,6,9,0.667,1,8,9,9,2,0,3,32,28.5,6
27,5/29/07,Eastern Conference NBA Finals,4,CLE,DET,W (+4),44,8,19,0.421,1,5,0.2,8,9,0.889,0,7,7,11,3,0,3,25,24.3,-4
28,5/31/07,Eastern Conference NBA Finals,5,CLE,DET,W (+2),50,18,33,0.545,2,3,0.667,10,14,0.714,3,6,9,7,2,0,2,48,38.1,2
29,6/2/07,Eastern Conference NBA Finals,6,CLE,DET,W (+16),46,3,11,0.273,0,2,0,14,19,0.737,2,12,14,8,2,2,3,20,22.1,13
30,6/7/07,NBA Finals,1,CLE,SAS,L (-9),44,4,16,0.25,2,6,0.333,4,4,1,1,6,7,4,1,1,6,14,5,-5
31,6/10/07,NBA Finals,2,CLE,SAS,L (-11),38,9,21,0.429,0,2,0,7,11,0.636,3,4,7,6,1,0,6,25,13.6,-5
32,6/12/07,NBA Finals,3,CLE,SAS,L (-3),42,9,23,0.391,0,5,0,7,8,0.875,0,8,8,7,2,1,5,25,15.9,4
33,6/14/07,NBA Finals,4,CLE,SAS,L (-1),46,10,30,0.333,2,7,0.286,2,6,0.333,0,6,6,10,0,0,6,24,7.8,2
